,ClusterId,precision,recall,f1-score,support,color
0,0,1.0,0.9,0.9473684210526316,60.0,rgb
1,1,0.9556451612903226,0.9875,0.9713114754098361,720.0,rgb
2,2,0.9800531914893617,0.9826666666666667,0.981358189081225,750.0,rgb
3,3,0.9794050343249427,0.9511111111111111,0.9650507328072154,450.0,rgb
4,4,0.9816232771822359,0.9712121212121212,0.9763899466869764,660.0,rgb
5,5,0.9375951293759512,0.9777777777777777,0.9572649572649572,630.0,rgb
6,6,1.0,0.8666666666666667,0.9285714285714286,150.0,rgb
7,7,0.9583333333333334,0.9711111111111111,0.9646799116997793,450.0,rgb
8,8,0.9792626728110599,0.9444444444444444,0.9615384615384616,450.0,rgb
9,9,0.9753593429158111,0.9895833333333334,0.9824198552223371,480.0,rgb
10,10,0.9849624060150376,0.9924242424242424,0.9886792452830188,660.0,rgb
11,11,0.9351230425055929,0.9952380952380953,0.964244521337947,420.0,rgb
12,12,0.9898255813953488,0.9869565217391304,0.9883889695210449,690.0,rgb
13,13,0.9832402234636871,0.9777777777777777,0.9805013927576602,720.0,rgb
14,14,0.996268656716418,0.9888888888888889,0.9925650557620819,270.0,rgb
15,15,0.971830985915493,0.9857142857142858,0.9787234042553192,210.0,rgb
16,16,0.9866666666666667,0.9866666666666667,0.9866666666666668,150.0,rgb
17,17,0.9885057471264368,0.9555555555555556,0.9717514124293786,360.0,rgb
18,18,0.9844559585492227,0.9743589743589743,0.979381443298969,390.0,rgb
19,19,0.9836065573770492,1.0,0.9917355371900827,60.0,rgb
20,20,0.7372881355932204,0.9666666666666667,0.8365384615384616,90.0,rgb
21,21,0.9879518072289156,0.9111111111111111,0.9479768786127168,90.0,rgb
22,22,0.9829059829059829,0.9583333333333334,0.970464135021097,120.0,rgb
23,23,0.9865771812080537,0.98,0.9832775919732442,150.0,rgb
24,24,1.0,0.9777777777777777,0.9887640449438202,90.0,rgb
25,25,0.9704641350210971,0.9583333333333334,0.9643605870020965,480.0,rgb
26,26,0.937888198757764,0.8388888888888889,0.8856304985337243,180.0,rgb
27,27,0.9827586206896551,0.95,0.9661016949152542,60.0,rgb
28,28,0.9675324675324676,0.9933333333333333,0.9802631578947368,150.0,rgb
29,29,1.0,0.9666666666666667,0.983050847457627,90.0,rgb
30,30,0.984375,0.84,0.9064748201438849,150.0,rgb
31,31,0.9566787003610109,0.9814814814814815,0.9689213893967092,270.0,rgb
32,32,1.0,1.0,1.0,60.0,rgb
33,33,0.9952153110047847,0.9904761904761905,0.9928400954653939,210.0,rgb
34,34,0.943089430894309,0.9666666666666667,0.9547325102880659,120.0,rgb
35,35,0.9557739557739557,0.9974358974358974,0.9761606022584692,390.0,rgb
36,36,0.9747899159663865,0.9666666666666667,0.9707112970711297,120.0,rgb
37,37,1.0,1.0,1.0,60.0,rgb
38,38,0.9882869692532943,0.9782608695652174,0.9832483612527312,690.0,rgb
39,39,0.989010989010989,1.0,0.994475138121547,90.0,rgb
40,40,0.9565217391304348,0.9777777777777777,0.967032967032967,90.0,rgb
41,41,0.7846153846153846,0.85,0.816,60.0,rgb
42,42,0.9506172839506173,0.8555555555555555,0.9005847953216374,90.0,rgb
