epoch,accuracy,loss,val_accuracy,val_loss
0,0.7359092235565186,0.9709910750389099,0.9247545003890991,0.2640189528465271
1,0.9610750079154968,0.13499505817890167,0.951281726360321,0.18359021842479706
2,0.9765047430992126,0.07852374017238617,0.9602091312408447,0.14897194504737854
3,0.9818286299705505,0.05988620966672897,0.9582961201667786,0.14967551827430725
4,0.9867380857467651,0.04399438202381134,0.9632700085639954,0.14794863760471344
5,0.9884276986122131,0.03705505281686783,0.9549802541732788,0.18637248873710632
6,0.9888102412223816,0.03451119735836983,0.9683713912963867,0.1523122936487198
7,0.9906911253929138,0.02991197071969509,0.9567657113075256,0.195182666182518
8,0.9909780621528625,0.027077464386820793,0.9596990346908569,0.1829356700181961
9,0.993018388748169,0.025089846923947334,0.9561280608177185,0.2092597782611847
10,0.9933371543884277,0.0220806747674942,0.9586787223815918,0.20442603528499603
11,0.992763340473175,0.02277090959250927,0.956893265247345,0.17578133940696716
12,0.9937834739685059,0.01987539604306221,0.9732177257537842,0.10795658826828003
13,0.9945167303085327,0.017131157219409943,0.9656931757926941,0.15455132722854614
14,0.992763340473175,0.0219343863427639,0.9663308262825012,0.16675709187984467
15,0.9943891763687134,0.017219778150320053,0.9670960307121277,0.16359177231788635
16,0.9943253993988037,0.018581079319119453,0.9724525213241577,0.10665373504161835
17,0.9960150718688965,0.013238067738711834,0.9772987961769104,0.10630182176828384
18,0.9951861500740051,0.015181642957031727,0.9674786329269409,0.16599050164222717
19,0.9948673844337463,0.01612466759979725,0.9724525213241577,0.12841641902923584
