epoch,accuracy,loss,val_accuracy,val_loss
0,0.713019609451294,0.9809318780899048,0.9149343371391296,0.33626869320869446
1,0.9543802738189697,0.149181067943573,0.9310036897659302,0.2887069880962372
2,0.9727429151535034,0.08790983259677887,0.9473281502723694,0.22116050124168396
3,0.9807128310203552,0.0636565238237381,0.9252646565437317,0.2643902897834778
4,0.983900785446167,0.047577135264873505,0.9417166113853455,0.2353859841823578
5,0.9874075651168823,0.03764026239514351,0.9482209086418152,0.21815402805805206
6,0.9880132675170898,0.036190979182720184,0.945925235748291,0.22699083387851715
7,0.9902448058128357,0.030141359195113182,0.9521744847297668,0.2370227426290512
8,0.9905317425727844,0.029700113460421562,0.9580410718917847,0.1780090630054474
9,0.9906592965126038,0.027906378731131554,0.948731005191803,0.26838812232017517
10,0.9925082921981812,0.02287631295621395,0.9551077485084534,0.2022142857313156
11,0.9926995635032654,0.023776821792125702,0.9662032723426819,0.15602554380893707
12,0.9942935705184937,0.020005855709314346,0.9707945585250854,0.13574130833148956
13,0.9941341280937195,0.020537978038191795,0.9663308262825012,0.14918571710586548
14,0.9941022992134094,0.01988765224814415,0.9660757780075073,0.1586763858795166
15,0.9945485591888428,0.016795730218291283,0.9480933547019958,0.2437417209148407
16,0.9940704107284546,0.02136394940316677,0.9636526107788086,0.18756526708602905
17,0.9959831833839417,0.011607385240495205,0.9683713912963867,0.1464734971523285
18,0.9950267672538757,0.016632772982120514,0.958168625831604,0.209311842918396
19,0.9947080016136169,0.016657402738928795,0.970029354095459,0.16616865992546082
