epoch,accuracy,loss,val_accuracy,val_loss
0,0.6777288913726807,1.0929126739501953,0.8779492378234863,0.41962993144989014
1,0.9530732035636902,0.15415692329406738,0.9103430509567261,0.3472304344177246
2,0.9729022979736328,0.08768808096647263,0.9151893854141235,0.3279109001159668
3,0.9795651435852051,0.06406272947788239,0.9470731019973755,0.21984905004501343
4,0.9852397441864014,0.04738800972700119,0.9313862919807434,0.283460795879364
5,0.9865787029266357,0.04135763272643089,0.9445223808288574,0.2469303458929062
6,0.9887146353721619,0.03551148623228073,0.9413340091705322,0.22555893659591675
7,0.9898941516876221,0.030294885858893394,0.948731005191803,0.2236749678850174
8,0.9901810884475708,0.03207392618060112,0.9498788714408875,0.23114809393882751
9,0.9918707013130188,0.027491068467497826,0.94720059633255,0.25626128911972046
10,0.9914243817329407,0.0264512300491333,0.9443948268890381,0.20830772817134857
11,0.9939428567886353,0.019750021398067474,0.9539599418640137,0.20340801775455475
12,0.9933052659034729,0.02329847775399685,0.9552353024482727,0.22911545634269714
13,0.9930821061134338,0.023407530039548874,0.9475831985473633,0.24486306309700012
14,0.9939109683036804,0.020033249631524086,0.9549802541732788,0.20565947890281677
15,0.9936559796333313,0.022905265912413597,0.9491136074066162,0.20730677247047424
16,0.9953774809837341,0.014763111248612404,0.9591888785362244,0.16231213510036469
17,0.9955687522888184,0.014840549789369106,0.9598265290260315,0.16549763083457947
18,0.9949629902839661,0.018333056941628456,0.9580410718917847,0.23418085277080536
19,0.994452953338623,0.018807852640748024,0.9585512280464172,0.1938619315624237
