epoch,accuracy,loss,val_accuracy,val_loss
0,0.6860175728797913,1.0859652757644653,0.908174991607666,0.3192285895347595
1,0.9561017751693726,0.14647601544857025,0.9408238530158997,0.2269143909215927
2,0.9741774797439575,0.0832647755742073,0.9442673325538635,0.23388460278511047
3,0.983900785446167,0.05533408373594284,0.9511541724205017,0.2101300060749054
4,0.9866424202919006,0.04462835192680359,0.9600816369056702,0.15245524048805237
5,0.9880132675170898,0.03821185603737831,0.9410789608955383,0.27418580651283264
6,0.9876307249069214,0.040635935962200165,0.9562555551528931,0.16318200528621674
7,0.9905955195426941,0.028360983356833458,0.9627598524093628,0.16942699253559113
8,0.9907549023628235,0.029247118160128593,0.9488585591316223,0.21425867080688477
9,0.9916475415229797,0.027556199580430984,0.9648004174232483,0.15674522519111633
10,0.993751585483551,0.020449791103601456,0.9656931757926941,0.1541479378938675
11,0.9929227232933044,0.021890630945563316,0.9628874063491821,0.1623651087284088
12,0.9924764037132263,0.028333624824881554,0.9524295330047607,0.2195945382118225
13,0.9934328198432922,0.02243611216545105,0.9574034214019775,0.18302354216575623
14,0.9933052659034729,0.021469535306096077,0.9566381573677063,0.18815714120864868
15,0.994931161403656,0.017120664939284325,0.9612294435501099,0.15418140590190887
16,0.9939747452735901,0.019889220595359802,0.9565106630325317,0.22852224111557007
17,0.9956324696540833,0.015095839276909828,0.9556179046630859,0.2506348192691803
18,0.9943891763687134,0.01918766088783741,0.9525570869445801,0.2236407846212387
19,0.9945485591888428,0.017890922725200653,0.9632700085639954,0.19750821590423584
